Time	Channel A	Channel B
(ms)	(V)	(V)

134.04202608	0.07874016	0.00000000
134.04604208	0.07874016	0.00000000
134.05005808	0.07874016	0.00000000
134.05407408	0.07874016	0.00000000
134.05809008	0.07874016	0.00000000
134.06210608	0.07874016	0.00000000
134.06612208	0.07874016	-0.01574803
134.07013808	0.07874016	0.00000000
134.07415407	0.07874016	0.00000000
134.07817007	0.07874016	0.00000000
134.08218607	0.07874016	-0.01574803
134.08620207	0.07874016	-0.01574803
134.09021807	0.07874016	-0.01574803
134.09423407	0.07874016	0.00000000
134.09825007	0.07874016	-0.01574803
134.10226607	0.07874016	0.00000000
134.10628207	0.07874016	0.00000000
134.11029807	0.07874016	0.00000000
134.11431407	0.07874016	0.00000000
134.11833007	0.07874016	0.00000000
134.12234607	0.07874016	-0.01574803
134.12636207	0.07874016	-0.01574803
134.13037807	0.07874016	-0.01574803
134.13439407	0.07874016	0.00000000
134.13841007	0.07874016	0.00000000
134.14242607	0.07874016	-0.01574803
134.14644207	0.07874016	-0.01574803
134.15045807	0.07874016	0.00000000
134.15447407	0.07874016	-0.01574803
134.15849007	0.07874016	-0.01574803
134.16250607	0.07874016	-0.01574803
134.16652207	0.07874016	0.00000000
134.17053807	0.07874016	-0.01574803
134.17455407	0.07874016	-0.01574803
134.17857007	0.07874016	-0.01574803
134.18258607	0.07874016	-0.01574803
134.18660207	0.07874016	-0.01574803
134.19061807	0.07874016	-0.01574803
134.19463407	0.07874016	0.00000000
134.19865007	0.07874016	0.00000000
134.20266607	0.07874016	0.00000000
134.20668207	0.07874016	0.00000000
134.21069807	0.07874016	-0.01574803
134.21471407	0.07874016	-0.01574803
134.21873007	0.07874016	-0.01574803
134.22274607	0.07874016	0.00000000
134.22676207	0.07874016	-0.01574803
134.23077807	0.07874016	0.00000000
134.23479407	0.07874016	0.00000000
134.23881007	0.07874016	0.00000000
134.24282607	0.07874016	0.00000000
134.24684207	0.07874016	0.00000000
134.25085807	0.07874016	0.00000000
134.25487407	0.07874016	0.00000000
134.25889007	0.07874016	0.00000000
134.26290607	0.07874016	0.00000000
134.26692207	0.07874016	0.00000000
134.27093807	0.07874016	0.00000000
134.27495407	0.07874016	0.00000000
134.27897007	0.07874016	-0.01574803
134.28298607	0.15748030	0.00000000
134.28700207	0.07874016	-0.01574803
134.29101807	0.07874016	-0.01574803
134.29503406	0.07874016	0.00000000
134.29905006	0.07874016	-0.01574803
134.30306606	0.07874016	0.00000000
134.30708206	0.07874016	0.00000000
134.31109806	0.07874016	-0.01574803
134.31511406	0.07874016	0.00000000
134.31913006	0.07874016	-0.01574803
134.32314606	0.07874016	-0.01574803
134.32716206	0.07874016	0.00000000
134.33117806	0.07874016	0.00000000
134.33519406	0.07874016	0.00000000
134.33921006	0.07874016	0.00000000
134.34322606	0.07874016	0.00000000
134.34724206	0.07874016	0.00000000
134.35125806	0.07874016	0.00000000
134.35527406	0.07874016	0.00000000
134.35929006	0.07874016	0.00000000
134.36330606	0.07874016	0.00000000
134.36732206	0.07874016	0.00000000
134.37133806	0.07874016	0.00000000
134.37535406	0.07874016	-0.01574803
134.37937006	0.07874016	-0.01574803
134.38338606	0.07874016	-0.01574803
134.38740206	0.15748030	-0.01574803
134.39141806	0.07874016	0.00000000
134.39543406	0.07874016	0.00000000
134.39945006	0.07874016	-0.01574803
134.40346606	0.07874016	0.00000000
134.40748206	0.07874016	0.00000000
134.41149806	0.07874016	0.00000000
134.41551406	0.07874016	0.00000000
134.41953006	0.07874016	0.00000000
134.42354606	0.07874016	0.00000000
134.42756206	0.07874016	-0.01574803
134.43157806	0.07874016	-0.01574803
134.43559406	0.07874016	0.00000000
134.43961006	0.07874016	0.00000000
134.44362606	0.07874016	0.00000000
134.44764206	0.07874016	0.00000000
